File name, Read_Time, k, reduction_time, process_time, total_time
fpsol2.i.2.dot, 5.037459850311279, T, T, T, T
keller4.dot, 5.426206588745117, T, T, T, T
3-Insertions_5.dot, 5.571140289306641, T, T, T, T
le450_5d.dot, 5.628978490829468, T, T, T, T
le450_5c.dot, 5.625033140182495, T, T, T, T
brock200_2.dot, 5.699090242385864, T, T, T, T
queen15_15.dot, 2.9103333950042725, T, T, T, T
miles1500.dot, 3.0008583068847656, T, T, T, T
p_hat300-1.dot, 6.264068603515625, T, T, T, T
5-FullIns_4.dot, 6.576367616653442, T, T, T, T
fpsol2.i.1.dot, 6.740665912628174, T, T, T, T
2-FullIns_5.dot, 7.039823293685913, T, T, T, T
DSJC500.1.dot, 7.154446601867676, T, T, T, T
ash958GPIA.dot, 7.192280530929565, T, T, T, T
queen16_16.dot, 3.647348165512085, T, T, T, T
brock200_4.dot, 7.573809862136841, T, T, T, T
inithx.i.3.dot, 8.024600744247437, T, T, T, T
inithx.i.2.dot, 8.074182510375977, T, T, T, T
school1_nsh.dot, 8.394530057907104, T, T, T, T
DSJC250.5.dot, 9.016365766525269, T, T, T, T
le450_15c.dot, 9.55605435371399, T, T, T, T
le450_15d.dot, 9.63335394859314, T, T, T, T
le450_25c.dot, 9.95967173576355, T, T, T, T
le450_25d.dot, 10.038984537124634, T, T, T, T
gen200_p0.9_44.dot, 10.317086696624756, T, T, T, T
gen200_p0.9_55.dot, 10.291465759277344, T, T, T, T
inithx.i.1.dot, 10.725007772445679, T, T, T, T
school1.dot, 10.96912169456482, T, T, T, T
hamming8-4.dot, 11.996008157730103, T, T, T, T
p_hat300-2.dot, 12.661242246627808, T, T, T, T
qwhdec.order30.holes316.1.dot, 15.041433334350586, T, T, T, T
qwhopt.order30.holes320.1.dot, 15.047696590423584, T, T, T, T
qwhopt.order30.holes316.1.dot, 15.082351207733154, T, T, T, T
qg.order30.dot, 15.000862121582031, T, T, T, T
qwhdec.order30.holes320.1.dot, 15.089998245239258, T, T, T, T
DSJC250.9.dot, 16.121434926986694, T, T, T, T
p_hat300-3.dot, 19.291551113128662, T, T, T, T
3-FullIns_5.dot, 19.456481456756592, T, T, T, T
qwhopt.order33.holes381.bal.1.dot, 20.093297243118286, T, T, T, T
qwhdec.order33.holes381.bal.1.dot, 20.159284353256226, T, T, T, T
qwhdec.order35.holes405.1.dot, 24.036010265350342, T, T, T, T
qwhopt.order35.holes405.1.dot, 24.087714195251465, T, T, T, T
wap05a.dot, 24.983906984329224, T, T, T, T
wap05.dot, 24.8838894367218, T, T, T, T
wap06a.dot, 25.246803283691406, T, T, T, T
wap06.dot, 25.249616622924805, T, T, T, T
DSJC1000.1.dot, 28.805861949920654, T, T, T, T
DSJR500.5.dot, 34.28306531906128, T, T, T, T
brock400_4.dot, 34.650390625, T, T, T, T
brock400_2.dot, 34.69934320449829, T, T, T, T
p_hat700-1.dot, 35.479228496551514, T, T, T, T
qwhdec.order40.holes528.1.dot, 35.796770095825195, T, T, T, T
qg.order40.dot, 35.574784994125366, T, T, T, T
qwhopt.order40.holes528.1.dot, 35.699581146240234, T, T, T, T
DSJC500.5.dot, 35.7598340511322, T, T, T, T
abb313GPIA.dot, 30.634385585784912, T, T, T, T
